"MESH_TYPE"	"MESH_SOURCE_CODE"	"MESH_SOURCE_NAME"	"RECORD_COUNT"	"RECORD_TYPE"
"CONDITION"	"D000754"	"Anemia, Refractory, with Excess of Blasts"	153	"DISTINCT PERSON"
"CONDITION"	"D000224"	"Addison Disease"	4055	"DISTINCT PERSON"
"CONDITION"	"D000069316"	"Acne Conglobata"	2009	"DISTINCT PERSON"
"CONDITION"	"D000026"	"Abortion, Habitual"	12282	"DISTINCT PERSON"
"CONDITION"	"D000007"	"Abdominal Injuries"	17427	"DISTINCT PERSON"
"CONDITION"	"D000868"	"Anterior Compartment Syndrome"	5164	"DISTINCT PERSON"
"CONDITION"	"D001845"	"Bone Cysts"	5932	"DISTINCT PERSON"
"CONDITION"	"D001282"	"Atrial Flutter"	18607	"DISTINCT PERSON"
"CONDITION"	"D017109"	"Akathisia, Drug-Induced"	690	"DISTINCT PERSON"
"CONDITION"	"D000275"	"Adjustment Disorders"	116077	"DISTINCT PERSON"
"CONDITION"	"D000647"	"Amnesia"	48660	"DISTINCT PERSON"
"CONDITION"	"D019896"	"alpha 1-Antitrypsin Deficiency"	2567	"DISTINCT PERSON"
"CONDITION"	"D000033"	"Abortion, Threatened"	47938	"DISTINCT PERSON"
"CONDITION"	"D020269"	"Alcoholic Neuropathy"	902	"DISTINCT PERSON"
"CONDITION"	"D001028"	"Aortopulmonary Septal Defect"	191	"DISTINCT PERSON"
"CONDITION"	"D001165"	"Arteriovenous Malformations"	676	"DISTINCT PERSON"
"CONDITION"	"D000377"	"Agnosia"	229	"DISTINCT PERSON"
"CONDITION"	"D056735"	"Autoimmune Lymphoproliferative Syndrome"	575	"DISTINCT PERSON"
"CONDITION"	"D000542"	"Alveolitis, Extrinsic Allergic"	1003	"DISTINCT PERSON"
"CONDITION"	"D001746"	"Bladder Exstrophy"	275	"DISTINCT PERSON"
"CONDITION"	"D020016"	"Activated Protein C Resistance"	16115	"DISTINCT PERSON"
"CONDITION"	"D000756"	"Anemia, Sideroblastic"	719	"DISTINCT PERSON"
"CONDITION"	"D000052"	"Acanthosis Nigricans"	23716	"DISTINCT PERSON"
"CONDITION"	"D000506"	"Alopecia Areata"	25890	"DISTINCT PERSON"
"CONDITION"	"D020751"	"Alcohol-Induced Disorders"	9237	"DISTINCT PERSON"
"CONDITION"	"D000006"	"Abdomen, Acute"	16969	"DISTINCT PERSON"
"CONDITION"	"C537055"	"Alopecia universalis"	710	"DISTINCT PERSON"
"CONDITION"	"D015875"	"Anisocoria"	5776	"DISTINCT PERSON"
"CONDITION"	"C535317"	"47, XYY syndrome"	114	"DISTINCT PERSON"
"CONDITION"	"C562384"	"Branchial Cleft Anomalies"	1474	"DISTINCT PERSON"
"CONDITION"	"D000783"	"Aneurysm"	13127	"DISTINCT PERSON"
"CONDITION"	"D000417"	"Albinism"	355	"DISTINCT PERSON"
"CONDITION"	"D065635"	"Benign Paroxysmal Positional Vertigo"	72163	"DISTINCT PERSON"
"CONDITION"	"D000067390"	"Cold Injury"	406	"DISTINCT PERSON"
"CONDITION"	"D001883"	"Borderline Personality Disorder"	16100	"DISTINCT PERSON"
"CONDITION"	"D001289"	"Attention Deficit Disorder with Hyperactivity"	45006	"DISTINCT PERSON"
"CONDITION"	"D002769"	"Cholelithiasis"	163	"DISTINCT PERSON"
"CONDITION"	"D002341"	"Carotid Artery Thrombosis"	517	"DISTINCT PERSON"
"CONDITION"	"D001247"	"Asthenia"	191056	"DISTINCT PERSON"
"CONDITION"	"D002006"	"Brucellosis"	127	"DISTINCT PERSON"
"CONDITION"	"D000686"	"Amyloidosis"	1439	"DISTINCT PERSON"
"CONDITION"	"D006502"	"Budd-Chiari Syndrome"	740	"DISTINCT PERSON"
"CONDITION"	"D001997"	"Bronchopulmonary Dysplasia"	2159	"DISTINCT PERSON"
"CONDITION"	"D000471"	"Alkalosis"	4116	"DISTINCT PERSON"
"CONDITION"	"D001249"	"Asthma"	46778	"DISTINCT PERSON"
"CONDITION"	"D002278"	"Carcinoma in Situ"	1430	"DISTINCT PERSON"
"CONDITION"	"D001134"	"Arm Injuries"	131484	"DISTINCT PERSON"
"CONDITION"	"D017085"	"alpha-Thalassemia"	1963	"DISTINCT PERSON"
"CONDITION"	"D002524"	"Cerebellar Ataxia"	451	"DISTINCT PERSON"
"CONDITION"	"D001072"	"Apraxias"	4313	"DISTINCT PERSON"
"CONDITION"	"D015783"	"Aniridia"	197	"DISTINCT PERSON"
"CONDITION"	"D002561"	"Cerebrovascular Disorders"	15236	"DISTINCT PERSON"
"CONDITION"	"D001519"	"Behavior"	27863	"DISTINCT PERSON"
"CONDITION"	"D001161"	"Arteriosclerosis"	6889	"DISTINCT PERSON"
"CONDITION"	"D002340"	"Carotid Artery Diseases"	16417	"DISTINCT PERSON"
"CONDITION"	"D001919"	"Bradycardia"	121994	"DISTINCT PERSON"
"CONDITION"	"D054537"	"Atrioventricular Block"	2615	"DISTINCT PERSON"
"CONDITION"	"D001847"	"Bone Diseases"	282817	"DISTINCT PERSON"
"CONDITION"	"D000308"	"Adrenocortical Hyperfunction"	6327	"DISTINCT PERSON"
"CONDITION"	"D020516"	"Brachial Plexus Neuropathies"	15448	"DISTINCT PERSON"
"CONDITION"	"D020324"	"Amnesia, Anterograde"	835	"DISTINCT PERSON"
"CONDITION"	"D000853"	"Anophthalmos"	584	"DISTINCT PERSON"
"CONDITION"	"D055008"	"Anthracosis"	208	"DISTINCT PERSON"
"CONDITION"	"D020817"	"Asperger Syndrome"	9090	"DISTINCT PERSON"
"CONDITION"	"D001251"	"Astigmatism"	60892	"DISTINCT PERSON"
"CONDITION"	"D000307"	"Adrenal Gland Diseases"	21375	"DISTINCT PERSON"
"CONDITION"	"D013734"	"Androgen-Insensitivity Syndrome"	409	"DISTINCT PERSON"
"CONDITION"	"D001446"	"Balanitis"	1265	"DISTINCT PERSON"
"CONDITION"	"D000196"	"Actinomycosis"	1799	"DISTINCT PERSON"
"CONDITION"	"D002062"	"Bursitis"	1881	"DISTINCT PERSON"
"CONDITION"	"D001987"	"Bronchiectasis"	11920	"DISTINCT PERSON"
"CONDITION"	"D001759"	"Blastomycosis"	115	"DISTINCT PERSON"
"CONDITION"	"C562406"	"Bladder Diverticulum"	1589	"DISTINCT PERSON"
"CONDITION"	"D000532"	"Altitude Sickness"	2153	"DISTINCT PERSON"
"CONDITION"	"D000745"	"Anemia, Hemolytic, Congenital"	1167	"DISTINCT PERSON"
"CONDITION"	"D000690"	"Amyotrophic Lateral Sclerosis"	1049	"DISTINCT PERSON"
"CONDITION"	"D001528"	"Behcet Syndrome"	1328	"DISTINCT PERSON"
"CONDITION"	"D020757"	"Amaurosis Fugax"	2463	"DISTINCT PERSON"
"CONDITION"	"D002318"	"Cardiovascular Diseases"	10991	"DISTINCT PERSON"
"CONDITION"	"D001228"	"Aspergillosis"	940	"DISTINCT PERSON"
"CONDITION"	"C538494"	"Aplastic anemia, idiopathic"	237	"DISTINCT PERSON"
"CONDITION"	"D001471"	"Barrett Esophagus"	48795	"DISTINCT PERSON"
"CONDITION"	"D001037"	"Aphasia"	9802	"DISTINCT PERSON"
"CONDITION"	"D003616"	"Dandy-Walker Syndrome"	394	"DISTINCT PERSON"
"CONDITION"	"D056586"	"Acute Chest Syndrome"	579	"DISTINCT PERSON"
"CONDITION"	"D002312"	"Cardiomyopathy, Hypertrophic"	7462	"DISTINCT PERSON"
"CONDITION"	"D000081084"	"Accidental Injuries"	5386	"DISTINCT PERSON"
"CONDITION"	"D001167"	"Arteritis"	5468	"DISTINCT PERSON"
"CONDITION"	"D001017"	"Aortic Coarctation"	3787	"DISTINCT PERSON"
"CONDITION"	"D000425"	"Alcohol Amnestic Disorder"	167	"DISTINCT PERSON"
"CONDITION"	"D001201"	"Ascites"	30330	"DISTINCT PERSON"
"CONDITION"	"D001014"	"Aortic Aneurysm"	5632	"DISTINCT PERSON"
"CONDITION"	"D018798"	"Anemia, Iron-Deficiency"	308087	"DISTINCT PERSON"
"CONDITION"	"D002180"	"Candidiasis, Oral"	49138	"DISTINCT PERSON"
"CONDITION"	"D001229"	"Aspergillosis, Allergic Bronchopulmonary"	675	"DISTINCT PERSON"
"CONDITION"	"D000550"	"Amblyopia"	23416	"DISTINCT PERSON"
"CONDITION"	"D002037"	"Bundle-Branch Block"	350	"DISTINCT PERSON"
"CONDITION"	"D003192"	"Compulsive Behavior"	2437	"DISTINCT PERSON"
"CONDITION"	"C562950"	"Cleft Soft Palate"	438	"DISTINCT PERSON"
"CONDITION"	"D001946"	"Breech Presentation"	23714	"DISTINCT PERSON"
"CONDITION"	"D046789"	"Chondromalacia Patellae"	73748	"DISTINCT PERSON"
"CONDITION"	"D002481"	"Cellulitis"	95498	"DISTINCT PERSON"
"CONDITION"	"D002145"	"Callosities"	48229	"DISTINCT PERSON"
"CONDITION"	"C537005"	"Complement component 5 deficiency"	4516	"DISTINCT PERSON"
"CONDITION"	"D000787"	"Angina Pectoris"	48556	"DISTINCT PERSON"
"CONDITION"	"D002280"	"Carcinoma, Basal Cell"	23778	"DISTINCT PERSON"
"CONDITION"	"D003316"	"Corneal Diseases"	4510	"DISTINCT PERSON"
"CONDITION"	"D000799"	"Angioedema"	25334	"DISTINCT PERSON"
"CONDITION"	"D046589"	"CADASIL"	126	"DISTINCT PERSON"
"CONDITION"	"D046730"	"Colitis, Lymphocytic"	3756	"DISTINCT PERSON"
"CONDITION"	"D002305"	"Cardiac Tamponade"	831	"DISTINCT PERSON"
"CONDITION"	"D000744"	"Anemia, Hemolytic, Autoimmune"	1608	"DISTINCT PERSON"
"CONDITION"	"D003111"	"Colonic Polyps"	251213	"DISTINCT PERSON"
"CONDITION"	"D053713"	"Azoospermia"	110	"DISTINCT PERSON"
"CONDITION"	"D018500"	"Diabetes Insipidus, Nephrogenic"	326	"DISTINCT PERSON"
"CONDITION"	"D003317"	"Corneal Dystrophies, Hereditary"	7666	"DISTINCT PERSON"
"CONDITION"	"D020330"	"Bell Palsy"	17016	"DISTINCT PERSON"
"CONDITION"	"D001477"	"Bartter Syndrome"	186	"DISTINCT PERSON"
"CONDITION"	"D003027"	"Cluster Headache"	2648	"DISTINCT PERSON"
"CONDITION"	"D001941"	"Breast Diseases"	128203	"DISTINCT PERSON"
"CONDITION"	"D001437"	"Bacteriuria"	10529	"DISTINCT PERSON"
"CONDITION"	"D002647"	"Chilblains"	1157	"DISTINCT PERSON"
"CONDITION"	"D000755"	"Anemia, Sickle Cell"	518	"DISTINCT PERSON"
"CONDITION"	"D003424"	"Crohn Disease"	36989	"DISTINCT PERSON"
"CONDITION"	"D001164"	"Arteriovenous Fistula"	1621	"DISTINCT PERSON"
"CONDITION"	"D000987"	"Antisocial Personality Disorder"	568	"DISTINCT PERSON"
"CONDITION"	"D000070625"	"Brain Injuries, Diffuse"	2372	"DISTINCT PERSON"
"CONDITION"	"D000071960"	"Breast Carcinoma In Situ"	3881	"DISTINCT PERSON"
"CONDITION"	"D001474"	"Bartonella Infections"	1118	"DISTINCT PERSON"
"CONDITION"	"D016117"	"Albinism, Ocular"	455	"DISTINCT PERSON"
"CONDITION"	"D018771"	"Arthralgia"	222167	"DISTINCT PERSON"
"CONDITION"	"D002446"	"Celiac Disease"	33464	"DISTINCT PERSON"
"CONDITION"	"D020236"	"Amnesia, Transient Global"	1903	"DISTINCT PERSON"
"CONDITION"	"D041881"	"Cholecystitis, Acute"	15008	"DISTINCT PERSON"
"CONDITION"	"D017043"	"Chalazion"	7270	"DISTINCT PERSON"
"CONDITION"	"D003329"	"Coronary Vasospasm"	4135	"DISTINCT PERSON"
"CONDITION"	"D016063"	"Blood Loss, Surgical"	701	"DISTINCT PERSON"
"CONDITION"	"D017204"	"Angelman Syndrome"	267	"DISTINCT PERSON"
"CONDITION"	"D001660"	"Biliary Tract Diseases"	21664	"DISTINCT PERSON"
"CONDITION"	"D000844"	"Ankylosis"	367	"DISTINCT PERSON"
"CONDITION"	"D017086"	"beta-Thalassemia"	2282	"DISTINCT PERSON"
"CONDITION"	"D001656"	"Biliary Atresia"	339	"DISTINCT PERSON"
"CONDITION"	"D002372"	"Cat-Scratch Disease"	556	"DISTINCT PERSON"
"CONDITION"	"D001404"	"Babesiosis"	1477	"DISTINCT PERSON"
"CONDITION"	"D001168"	"Arthritis"	4643	"DISTINCT PERSON"
"CONDITION"	"D003790"	"Dental Pulp Necrosis"	337	"DISTINCT PERSON"
"CONDITION"	"D001480"	"Basal Ganglia Diseases"	799	"DISTINCT PERSON"
"CONDITION"	"D020329"	"Essential Tremor"	21614	"DISTINCT PERSON"
"CONDITION"	"C538250"	"Amyopathic dermatomyositis"	419	"DISTINCT PERSON"
"CONDITION"	"D046728"	"Colitis, Microscopic"	2350	"DISTINCT PERSON"
"CONDITION"	"D000138"	"Acidosis"	44193	"DISTINCT PERSON"
"CONDITION"	"D001342"	"Autonomic Nervous System Diseases"	8332	"DISTINCT PERSON"
"CONDITION"	"D001102"	"Arbovirus Infections"	923	"DISTINCT PERSON"
"CONDITION"	"D000742"	"Anemia, Dyserythropoietic, Congenital"	337	"DISTINCT PERSON"
"CONDITION"	"D001416"	"Back Pain"	337546	"DISTINCT PERSON"
"CONDITION"	"D001049"	"Apnea"	18957	"DISTINCT PERSON"
"CONDITION"	"D000749"	"Anemia, Megaloblastic"	3016	"DISTINCT PERSON"
"CONDITION"	"C537945"	"Cerebral palsy, spastic, diplegic"	3556	"DISTINCT PERSON"
"CONDITION"	"D059268"	"Atrophic Vaginitis"	99389	"DISTINCT PERSON"
"CONDITION"	"D002057"	"Burns, Chemical"	784	"DISTINCT PERSON"
"CONDITION"	"D004886"	"Erysipelas"	1448	"DISTINCT PERSON"
"CONDITION"	"D004402"	"Dysautonomia, Familial"	2699	"DISTINCT PERSON"
"CONDITION"	"D004927"	"Escherichia coli Infections"	17796	"DISTINCT PERSON"
"CONDITION"	"D004066"	"Digestive System Diseases"	107162	"DISTINCT PERSON"
"CONDITION"	"D002916"	"Chylothorax"	196	"DISTINCT PERSON"
"CONDITION"	"D002779"	"Cholestasis"	9301	"DISTINCT PERSON"
"CONDITION"	"C535970"	"Coloboma of optic nerve"	453	"DISTINCT PERSON"
"CONDITION"	"D003310"	"Cor Triatriatum"	124	"DISTINCT PERSON"
"CONDITION"	"D001172"	"Arthritis, Rheumatoid"	73832	"DISTINCT PERSON"
"CONDITION"	"D002825"	"Chorioretinitis"	2233	"DISTINCT PERSON"
"CONDITION"	"D003449"	"Cryoglobulinemia"	358	"DISTINCT PERSON"
"CONDITION"	"D000072676"	"Ankyloglossia"	20234	"DISTINCT PERSON"
"CONDITION"	"D003141"	"Communicable Diseases"	17122	"DISTINCT PERSON"
"CONDITION"	"D004535"	"Ehlers-Danlos Syndrome"	7271	"DISTINCT PERSON"
"CONDITION"	"D061387"	"Chlamydial Pneumonia"	242	"DISTINCT PERSON"
"CONDITION"	"D052018"	"Bulimia Nervosa"	5583	"DISTINCT PERSON"
"CONDITION"	"D053559"	"Corneal Dystrophy, Juvenile Epithelial of Meesmann"	1956	"DISTINCT PERSON"
"CONDITION"	"D001720"	"Birth Injuries"	261	"DISTINCT PERSON"
"CONDITION"	"D003930"	"Diabetic Retinopathy"	882	"DISTINCT PERSON"
"CONDITION"	"D006259"	"Craniocerebral Trauma"	168487	"DISTINCT PERSON"
"CONDITION"	"D001763"	"Blepharoptosis"	17108	"DISTINCT PERSON"
"CONDITION"	"D003240"	"Connective Tissue Diseases"	23277	"DISTINCT PERSON"
"CONDITION"	"D003929"	"Diabetic Neuropathies"	2683	"DISTINCT PERSON"
"CONDITION"	"D003859"	"Dependent Personality Disorder"	861	"DISTINCT PERSON"
"CONDITION"	"D001998"	"Bronchopulmonary Sequestration"	166	"DISTINCT PERSON"
"CONDITION"	"D004065"	"Digestive System Abnormalities"	191	"DISTINCT PERSON"
"CONDITION"	"D003231"	"Conjunctivitis"	156299	"DISTINCT PERSON"
"CONDITION"	"D003914"	"Dextrocardia"	631	"DISTINCT PERSON"
"CONDITION"	"D019080"	"Cafe-au-Lait Spots"	13113	"DISTINCT PERSON"
"CONDITION"	"D004769"	"Enterovirus Infections"	10016	"DISTINCT PERSON"
"CONDITION"	"D003877"	"Dermatitis, Contact"	113848	"DISTINCT PERSON"
"CONDITION"	"D004714"	"Endometrial Hyperplasia"	16465	"DISTINCT PERSON"
"CONDITION"	"D001762"	"Blepharitis"	61239	"DISTINCT PERSON"
"CONDITION"	"D000435"	"Alcoholic Intoxication"	33635	"DISTINCT PERSON"
"CONDITION"	"D000080146"	"Avoidant Restrictive Food Intake Disorder"	2060	"DISTINCT PERSON"
"CONDITION"	"D015715"	"Corneal Edema"	3539	"DISTINCT PERSON"
"CONDITION"	"D002386"	"Cataract"	28176	"DISTINCT PERSON"
"CONDITION"	"D060825"	"Cognitive Dysfunction"	3541	"DISTINCT PERSON"
"CONDITION"	"D002972"	"Cleft Palate"	2109	"DISTINCT PERSON"
"CONDITION"	"D003586"	"Cytomegalovirus Infections"	3029	"DISTINCT PERSON"
"CONDITION"	"D002128"	"Calcium Metabolism Disorders"	5359	"DISTINCT PERSON"
"CONDITION"	"D015858"	"Anisometropia"	10571	"DISTINCT PERSON"
"CONDITION"	"D003093"	"Colitis, Ulcerative"	41521	"DISTINCT PERSON"
"CONDITION"	"D001447"	"Balantidiasis"	186	"DISTINCT PERSON"
"CONDITION"	"D018437"	"Brown-Sequard Syndrome"	136	"DISTINCT PERSON"
"CONDITION"	"D001928"	"Brain Diseases, Metabolic"	8971	"DISTINCT PERSON"
"CONDITION"	"D002781"	"Cholesteatoma"	4085	"DISTINCT PERSON"
"CONDITION"	"D002590"	"Cestode Infections"	157	"DISTINCT PERSON"
"CONDITION"	"D001764"	"Blepharospasm"	6002	"DISTINCT PERSON"
"CONDITION"	"D015433"	"Glomerulonephritis, Membranous"	833	"DISTINCT PERSON"
"CONDITION"	"D041761"	"Cholecystolithiasis"	98363	"DISTINCT PERSON"
"CONDITION"	"D005207"	"Fasciculation"	9753	"DISTINCT PERSON"
"CONDITION"	"D001139"	"Arnold-Chiari Malformation"	3657	"DISTINCT PERSON"
"CONDITION"	"D003236"	"Conjunctivitis, Viral"	31707	"DISTINCT PERSON"
"CONDITION"	"D000784"	"Aneurysm, Dissecting"	591	"DISTINCT PERSON"
"CONDITION"	"D009202"	"Cardiomyopathies"	52060	"DISTINCT PERSON"
"CONDITION"	"D001170"	"Arthritis, Infectious"	134	"DISTINCT PERSON"
"CONDITION"	"D001982"	"Bronchial Diseases"	8509	"DISTINCT PERSON"
"CONDITION"	"D029481"	"Bronchitis, Chronic"	11928	"DISTINCT PERSON"
"CONDITION"	"D001991"	"Bronchitis"	296115	"DISTINCT PERSON"
"CONDITION"	"D016736"	"Antiphospholipid Syndrome"	6986	"DISTINCT PERSON"
"CONDITION"	"D003741"	"Dental Deposits"	494	"DISTINCT PERSON"
"CONDITION"	"D017824"	"Bone Cysts, Aneurysmal"	730	"DISTINCT PERSON"
"CONDITION"	"D003232"	"Conjunctivitis, Acute Hemorrhagic"	300	"DISTINCT PERSON"
"CONDITION"	"D010188"	"Exocrine Pancreatic Insufficiency"	3757	"DISTINCT PERSON"
"CONDITION"	"D004687"	"Enchondromatosis"	212	"DISTINCT PERSON"
"CONDITION"	"D006471"	"Gastrointestinal Hemorrhage"	34496	"DISTINCT PERSON"
"CONDITION"	"D017029"	"Epilepsy, Complex Partial"	7785	"DISTINCT PERSON"
"CONDITION"	"D004695"	"Endocardial Fibroelastosis"	207	"DISTINCT PERSON"
"CONDITION"	"D019970"	"Cocaine-Related Disorders"	2826	"DISTINCT PERSON"
"CONDITION"	"D053159"	"Dysuria"	585718	"DISTINCT PERSON"
"CONDITION"	"D003384"	"Coxsackievirus Infections"	2225	"DISTINCT PERSON"
"CONDITION"	"D000071378"	"Bunion"	29681	"DISTINCT PERSON"
"CONDITION"	"C535456"	"Chronic recurrent multifocal osteomyelitis"	851	"DISTINCT PERSON"
"CONDITION"	"D003456"	"Cryptorchidism"	7376	"DISTINCT PERSON"
"CONDITION"	"D001196"	"Ascariasis"	168	"DISTINCT PERSON"
"CONDITION"	"C557675"	"Congenital tracheomalacia"	928	"DISTINCT PERSON"
"CONDITION"	"D004832"	"Epilepsy, Absence"	4170	"DISTINCT PERSON"
"CONDITION"	"D003333"	"Coronaviridae Infections"	780	"DISTINCT PERSON"
"CONDITION"	"D002544"	"Cerebral Infarction"	52560	"DISTINCT PERSON"
"CONDITION"	"D004619"	"Embolism, Amniotic Fluid"	202	"DISTINCT PERSON"
"CONDITION"	"D057215"	"Body Dysmorphic Disorders"	1953	"DISTINCT PERSON"
"CONDITION"	"D004380"	"Duodenal Obstruction"	1327	"DISTINCT PERSON"
"CONDITION"	"D005901"	"Glaucoma"	17098	"DISTINCT PERSON"
"CONDITION"	"D002602"	"Chancroid"	139	"DISTINCT PERSON"
"CONDITION"	"D006069"	"Gonorrhea"	11696	"DISTINCT PERSON"
"CONDITION"	"D000076385"	"Diverticular Diseases"	93736	"DISTINCT PERSON"
"CONDITION"	"D004211"	"Disseminated Intravascular Coagulation"	1327	"DISTINCT PERSON"
"CONDITION"	"D002349"	"Carpal Tunnel Syndrome"	151534	"DISTINCT PERSON"
"CONDITION"	"D006712"	"Homocystinuria"	8528	"DISTINCT PERSON"
"CONDITION"	"D003398"	"Craniosynostoses"	3285	"DISTINCT PERSON"
"CONDITION"	"D048909"	"Diabetes Complications"	200925	"DISTINCT PERSON"
"CONDITION"	"D002644"	"Chickenpox"	3645	"DISTINCT PERSON"
"CONDITION"	"C535531"	"Intervertebral disc disease"	20995	"DISTINCT PERSON"
"CONDITION"	"D005633"	"Fructose Intolerance"	139	"DISTINCT PERSON"
"CONDITION"	"D005151"	"Facial Injuries"	28702	"DISTINCT PERSON"
"CONDITION"	"D003235"	"Conjunctivitis, Inclusion"	106	"DISTINCT PERSON"
"CONDITION"	"D002819"	"Chorea"	581	"DISTINCT PERSON"
"CONDITION"	"D028921"	"Biotinidase Deficiency"	4968	"DISTINCT PERSON"
"CONDITION"	"D004487"	"Edema"	109594	"DISTINCT PERSON"
"CONDITION"	"C562856"	"Cerebral Palsy, Ataxic, Autosomal Recessive"	338	"DISTINCT PERSON"
"CONDITION"	"D003394"	"Craniofacial Dysostosis"	144	"DISTINCT PERSON"
"CONDITION"	"D003320"	"Corneal Ulcer"	7072	"DISTINCT PERSON"
"CONDITION"	"D004844"	"Epistaxis"	90286	"DISTINCT PERSON"
"CONDITION"	"D002761"	"Cholangitis"	2727	"DISTINCT PERSON"
"CONDITION"	"D050489"	"Bunion, Tailor's"	9909	"DISTINCT PERSON"
"CONDITION"	"D003139"	"Common Cold"	280574	"DISTINCT PERSON"
"CONDITION"	"D001848"	"Bone Diseases, Developmental"	1482	"DISTINCT PERSON"
"CONDITION"	"D065634"	"Cerebrospinal Fluid Leak"	2721	"DISTINCT PERSON"
"CONDITION"	"D005871"	"Castleman Disease"	259	"DISTINCT PERSON"
"CONDITION"	"C535358"	"Choroidal sclerosis"	1482	"DISTINCT PERSON"
"CONDITION"	"D019955"	"Conduct Disorder"	24459	"DISTINCT PERSON"
"CONDITION"	"D000067454"	"Childhood-Onset Fluency Disorder"	4706	"DISTINCT PERSON"
"CONDITION"	"D007570"	"Jaw Cysts"	2252	"DISTINCT PERSON"
"CONDITION"	"D017439"	"Cicatrix, Hypertrophic"	52717	"DISTINCT PERSON"
"CONDITION"	"D005322"	"Fetal Membranes, Premature Rupture"	9219	"DISTINCT PERSON"
"CONDITION"	"D001206"	"Ascorbic Acid Deficiency"	718	"DISTINCT PERSON"
"CONDITION"	"C536196"	"Ehlers-Danlos syndrome type 3"	714	"DISTINCT PERSON"
"CONDITION"	"D021921"	"Aortic Stenosis, Supravalvular"	463	"DISTINCT PERSON"
"CONDITION"	"D057070"	"Cervical Rib"	465	"DISTINCT PERSON"
"CONDITION"	"D002100"	"Cachexia"	2379	"DISTINCT PERSON"
"CONDITION"	"D002056"	"Burns"	8277	"DISTINCT PERSON"
"CONDITION"	"D001996"	"Bronchopneumonia"	11578	"DISTINCT PERSON"
"CONDITION"	"D003085"	"Colic"	6719	"DISTINCT PERSON"
"CONDITION"	"D006332"	"Cardiomegaly"	109228	"DISTINCT PERSON"
"CONDITION"	"D005543"	"Forearm Injuries"	13422	"DISTINCT PERSON"
"CONDITION"	"C536227"	"Cyclic neutropenia"	1275	"DISTINCT PERSON"
"CONDITION"	"D003928"	"Diabetic Nephropathies"	2579	"DISTINCT PERSON"
"CONDITION"	"D005832"	"Genital Diseases, Male"	43188	"DISTINCT PERSON"
"CONDITION"	"D016110"	"Epidermolysis Bullosa Simplex"	218	"DISTINCT PERSON"
"CONDITION"	"D006100"	"Granuloma Inguinale"	162	"DISTINCT PERSON"
"CONDITION"	"D004948"	"Esotropia"	10968	"DISTINCT PERSON"
"CONDITION"	"D006227"	"Hand Deformities, Acquired"	600	"DISTINCT PERSON"
"CONDITION"	"D063807"	"Dandruff"	20705	"DISTINCT PERSON"
